function,blocks,threads,time(ms),per_op(ms)
128S-keypair,32,64,19808.14,0.6045
128S-keypair,64,64,9919.00,0.3027
128S-keypair,96,64,7586.36,0.2315
128S-keypair,128,64,6135.66,0.1872
128S-keypair,160,64,6843.92,0.2089
128S-keypair,192,64,5724.89,0.1747
128S-keypair,224,64,5906.62,0.1803
128S-keypair,256,64,5085.31,0.1552
128S-keypair,32,96,14047.15,0.4287
128S-keypair,64,96,7696.08,0.2349
128S-keypair,96,96,6154.29,0.1878
128S-keypair,128,96,5622.24,0.1716
128S-keypair,160,96,6438.54,0.1965
128S-keypair,192,96,5224.34,0.1594
128S-keypair,224,96,5012.32,0.1530
128S-keypair,256,96,4517.73,0.1379
128S-keypair,32,128,10546.29,0.3218
128S-keypair,64,128,5683.46,0.1734
128S-keypair,96,128,5600.52,0.1709
128S-keypair,128,128,5083.51,0.1551
128S-keypair,160,128,5107.35,0.1559
128S-keypair,192,128,4675.76,0.1427
128S-keypair,224,128,4830.78,0.1474
128S-keypair,256,128,3726.54,0.1137
128S-keypair,32,160,10442.60,0.3187
128S-keypair,64,160,6672.37,0.2036
128S-keypair,96,160,6173.99,0.1884
128S-keypair,128,160,4892.53,0.1493
128S-keypair,160,160,5208.42,0.1589
128S-keypair,192,160,5518.74,0.1684
128S-keypair,224,160,4295.74,0.1311
128S-keypair,256,160,4334.35,0.1323
128S-keypair,32,192,9520.58,0.2905
128S-keypair,64,192,5519.12,0.1684
128S-keypair,96,192,5036.01,0.1537
128S-keypair,128,192,4744.26,0.1448
128S-keypair,160,192,5835.24,0.1781
128S-keypair,192,192,4278.60,0.1306
128S-keypair,224,192,4306.09,0.1314
128S-keypair,256,192,4278.04,0.1306
128S-keypair,32,224,8450.44,0.2579
128S-keypair,64,224,6066.11,0.1851
128S-keypair,96,224,4724.64,0.1442
128S-keypair,128,224,5066.46,0.1546
128S-keypair,160,224,4603.42,0.1405
128S-keypair,192,224,4608.28,0.1406
128S-keypair,224,224,4616.48,0.1409
128S-keypair,256,224,4609.86,0.1407
128S-keypair,32,256,7174.04,0.2189
128S-keypair,64,256,4935.53,0.1506
128S-keypair,96,256,4998.11,0.1525
128S-keypair,128,256,3691.10,0.1126
128S-keypair,160,256,3690.23,0.1126
128S-keypair,192,256,3692.14,0.1127
128S-keypair,224,256,3691.39,0.1127
128S-keypair,256,256,3691.38,0.1127
128S-keypair,32,320,8214.15,0.2507
128S-keypair,64,320,5154.72,0.1573
128S-keypair,96,320,5928.80,0.1809
128S-keypair,128,320,4101.61,0.1252
128S-keypair,160,320,4091.66,0.1249
128S-keypair,192,320,4101.63,0.1252
128S-keypair,224,320,4092.71,0.1249
128S-keypair,256,320,4101.98,0.1252
128S-keypair,32,384,6656.54,0.2031
128S-keypair,64,384,5783.12,0.1765
128S-keypair,96,384,4488.09,0.1370
128S-keypair,128,384,4490.44,0.1370
128S-keypair,160,384,4490.95,0.1371
128S-keypair,192,384,4490.98,0.1371
128S-keypair,224,384,4490.47,0.1370
128S-keypair,256,384,4490.39,0.1370
128S-keypair,32,512,5389.10,0.1645
128S-keypair,64,512,4399.09,0.1342
128S-keypair,96,512,4398.63,0.1342
128S-keypair,128,512,4398.97,0.1342
128S-keypair,160,512,4398.98,0.1342
128S-keypair,192,512,4398.80,0.1342
128S-keypair,224,512,4399.13,0.1343
128S-keypair,256,512,4399.86,0.1343
128S-sign,32,64,151295.55,4.6172
128S-sign,64,64,75814.74,2.3137
128S-sign,96,64,58075.68,1.7723
128S-sign,128,64,42382.54,1.2934
128S-sign,160,64,51500.03,1.5717
128S-sign,192,64,41089.24,1.2539
128S-sign,224,64,44186.99,1.3485
128S-sign,256,64,36562.01,1.1158
128S-sign,32,96,107425.50,3.2784
128S-sign,64,96,58996.82,1.8004
128S-sign,96,96,45965.30,1.4027
128S-sign,128,96,41049.86,1.2527
128S-sign,160,96,47631.53,1.4536
128S-sign,192,96,38831.55,1.1850
128S-sign,224,96,35765.78,1.0915
128S-sign,256,96,33759.80,1.0303
128S-sign,32,128,80717.30,2.4633
128S-sign,64,128,42059.77,1.2836
128S-sign,96,128,41087.11,1.2539
128S-sign,128,128,36568.93,1.1160
128S-sign,160,128,38485.55,1.1745
128S-sign,192,128,34285.72,1.0463
128S-sign,224,128,36438.52,1.1120
128S-sign,256,128,27834.45,0.8494
128S-sign,32,160,78810.87,2.4051
128S-sign,64,160,49570.62,1.5128
128S-sign,96,160,46922.92,1.4320
128S-sign,128,160,37108.29,1.1325
128S-sign,160,160,38863.83,1.1860
128S-sign,192,160,40750.17,1.2436
128S-sign,224,160,32277.59,0.9850
128S-sign,256,160,32424.97,0.9895
128S-sign,32,192,71531.17,2.1830
128S-sign,64,192,40731.11,1.2430
128S-sign,96,192,37034.50,1.1302
128S-sign,128,192,34920.24,1.0657
128S-sign,160,192,43315.15,1.3219
128S-sign,192,192,32504.65,0.9920
128S-sign,224,192,32295.17,0.9856
128S-sign,256,192,32503.20,0.9919
128S-sign,32,224,63932.12,1.9511
128S-sign,64,224,44624.44,1.3618
128S-sign,96,224,35344.57,1.0786
128S-sign,128,224,37452.16,1.1429
128S-sign,160,224,34265.25,1.0457
128S-sign,192,224,34272.97,1.0459
128S-sign,224,224,34204.84,1.0438
128S-sign,256,224,34188.74,1.0434
128S-sign,32,256,53287.64,1.6262
128S-sign,64,256,34492.63,1.0526
128S-sign,96,256,36848.80,1.1245
128S-sign,128,256,27331.48,0.8341
128S-sign,160,256,27341.04,0.8344
128S-sign,192,256,27341.34,0.8344
128S-sign,224,256,27340.92,0.8344
128S-sign,256,256,27339.86,0.8343
128S-sign,32,320,61631.61,1.8808
128S-sign,64,320,37670.92,1.1496
128S-sign,96,320,44762.57,1.3660
128S-sign,128,320,30480.06,0.9302
128S-sign,160,320,30581.32,0.9333
128S-sign,192,320,30483.11,0.9303
128S-sign,224,320,30579.38,0.9332
128S-sign,256,320,30488.43,0.9304
128S-sign,32,384,49748.80,1.5182
128S-sign,64,384,42703.40,1.3032
128S-sign,96,384,33832.80,1.0325
128S-sign,128,384,33835.93,1.0326
128S-sign,160,384,33835.32,1.0326
128S-sign,192,384,33835.88,1.0326
128S-sign,224,384,33834.50,1.0325
128S-sign,256,384,33836.53,1.0326
128S-sign,32,512,40637.76,1.2402
128S-sign,64,512,32680.75,0.9973
128S-sign,96,512,32685.15,0.9975
128S-sign,128,512,32686.20,0.9975
128S-sign,160,512,32685.90,0.9975
128S-sign,192,512,32687.66,0.9975
128S-sign,224,512,32692.23,0.9977
128S-sign,256,512,32691.94,0.9977
128S-verify,32,64,314.23,0.0096
128S-verify,64,64,163.92,0.0050
128S-verify,96,64,128.79,0.0039
128S-verify,128,64,101.06,0.0031
128S-verify,160,64,113.91,0.0035
128S-verify,192,64,96.14,0.0029
128S-verify,224,64,102.78,0.0031
128S-verify,256,64,87.94,0.0027
128S-verify,32,96,226.19,0.0069
128S-verify,64,96,130.34,0.0040
128S-verify,96,96,105.10,0.0032
128S-verify,128,96,97.16,0.0030
128S-verify,160,96,110.59,0.0034
128S-verify,192,96,94.08,0.0029
128S-verify,224,96,88.70,0.0027
128S-verify,256,96,81.86,0.0025
128S-verify,32,128,173.01,0.0053
128S-verify,64,128,96.10,0.0029
128S-verify,96,128,96.34,0.0029
