blocks, threads, time(ms), per op(ms)
32, 64, 8184.08, 0.2498
64, 64, 4116.35, 0.1256
96, 64, 3153.21, 0.0962
128, 64, 2246.26, 0.0686
160, 64, 2694.67, 0.0822
192, 64, 2201.16, 0.0672
224, 64, 2433.35, 0.0743
256, 64, 1985.34, 0.0606
32, 96, 5840.06, 0.1782
64, 96, 3213.67, 0.0981
96, 96, 2530.79, 0.0772
128, 96, 2186.43, 0.0667
160, 96, 2635.14, 0.0804
192, 96, 2139.16, 0.0653
224, 96, 2038.93, 0.0622
256, 96, 1922.14, 0.0587
32, 128, 4409.72, 0.1346
64, 128, 2287.12, 0.0698
96, 128, 2370.27, 0.0723
128, 128, 1989.30, 0.0607
160, 128, 2196.65, 0.0670
192, 128, 1963.39, 0.0599
224, 128, 2100.76, 0.0641
256, 128, 1625.76, 0.0496
32, 160, 4510.03, 0.1376
64, 160, 2768.02, 0.0845
96, 160, 2713.27, 0.0828
128, 160, 2045.29, 0.0624
160, 160, 2240.95, 0.0684
192, 160, 2341.25, 0.0714
224, 160, 1818.26, 0.0555
256, 160, 1820.20, 0.0555
32, 192, 4116.45, 0.1256
64, 192, 2319.89, 0.0708
96, 192, 2157.32, 0.0658
128, 192, 2023.63, 0.0618
160, 192, 2451.45, 0.0748
192, 192, 1819.88, 0.0555
224, 192, 1809.01, 0.0552
256, 192, 1820.06, 0.0555
32, 224, 3568.29, 0.1089
64, 224, 2520.88, 0.0769
96, 224, 2061.25, 0.0629
128, 224, 2173.08, 0.0663
160, 224, 1998.53, 0.0610
192, 224, 1999.92, 0.0610
224, 224, 2007.68, 0.0613
256, 224, 2002.12, 0.0611
32, 256, 2972.78, 0.0907
64, 256, 2004.90, 0.0612
96, 256, 2156.50, 0.0658
128, 256, 1616.41, 0.0493
160, 256, 1615.96, 0.0493
192, 256, 1616.05, 0.0493
224, 256, 1616.12, 0.0493
256, 256, 1616.21, 0.0493
32, 320, 3427.78, 0.1046
64, 320, 2131.91, 0.0651
96, 320, 2524.46, 0.0770
128, 320, 1748.97, 0.0534
160, 320, 1756.11, 0.0536
192, 320, 1749.20, 0.0534
224, 320, 1756.24, 0.0536
256, 320, 1749.28, 0.0534
32, 384, 2764.48, 0.0844
64, 384, 2332.46, 0.0712
96, 384, 1920.31, 0.0586
128, 384, 1920.52, 0.0586
160, 384, 1920.69, 0.0586
192, 384, 1920.48, 0.0586
224, 384, 1920.71, 0.0586
256, 384, 1921.04, 0.0586
32, 512, 2290.38, 0.0699
64, 512, 1855.02, 0.0566
96, 512, 1855.14, 0.0566
128, 512, 1855.38, 0.0566
160, 512, 1855.46, 0.0566
192, 512, 1855.04, 0.0566
224, 512, 1855.76, 0.0566
256, 512, 1855.01, 0.0566
